year,region,avg_temp,precipitation
2006,강원특별자치도,11.604383561643836,1659.4
2006,경기도,13.016438356164384,1362.7
2006,경상남도,14.566027397260275,1692.5
2006,경상북도,12.139726027397261,1098.1
2006,광주광역시,14.256712328767122,1520.2
2006,대구광역시,14.661095890410959,1131.5
2006,대전광역시,13.15095890410959,1195.2
2006,부산광역시,14.713972602739727,1528.3
2006,서울특별시,13.06191780821918,1681.9
2006,울산광역시,14.65972602739726,1393.9
2006,인천광역시,12.7413698630137,1300.1
2006,전라남도,14.12794520547945,1288.3
2006,전북특별자치도,14.14931506849315,1187.5
2006,제주특별자치도,16.302739726027397,1527.4
2006,충청남도,12.233424657534247,1139.2
2006,충청북도,13.34904109589041,1081.1
2007,강원특별자치도,11.795068493150685,1374.9
2007,경기도,12.924657534246576,1325.0
2007,경상남도,14.877808219178082,1497.2
2007,경상북도,12.677260273972601,1122.0
2007,광주광역시,14.67123287671233,1620.6
2007,대구광역시,15.063561643835616,973.9
2007,대전광역시,13.321917808219178,1750.9
2007,부산광역시,15.335342465753424,1276.5
2007,서울특별시,13.282739726027398,1212.3
2007,울산광역시,15.034794520547944,1135.8
2007,인천광역시,12.982191780821918,1120.0
2007,전라남도,14.526027397260274,1350.6
2007,전북특별자치도,14.00054794520548,1471.7
2007,제주특별자치도,16.48246575342466,2139.8
2007,충청남도,12.480547945205478,1471.1
2007,충청북도,13.704109589041096,1534.5
2008,강원특별자치도,11.311202185792348,1439.4
2008,경기도,12.893169398907103,1342.9
2008,경상남도,14.853278688524592,1020.5
2008,경상북도,12.489617486338798,737.9
2008,광주광역시,14.64016393442623,1007.2
2008,대구광역시,14.683879781420766,761.4
2008,대전광역시,13.022131147540984,1037.6
2008,부산광역시,15.021857923497267,1168.3
2008,서울특별시,12.964207650273224,1356.3
2008,울산광역시,14.21256830601093,1112.3
2008,인천광역시,12.78743169398907,1137.4
2008,전라남도,14.200273224043716,960.5
2008,전북특별자치도,13.890710382513662,1000.0
2008,제주특별자치도,16.03224043715847,1308.8
2008,충청남도,12.054371584699453,909.6
2008,충청북도,13.389071038251364,892.3
2009,강원특별자치도,11.499178082191781,1446.9
2009,경기도,12.704931506849315,1541.2
2009,경상남도,15.006027397260274,1865.9
2009,경상북도,12.570958904109588,1058.5
2009,광주광역시,14.667671232876712,1488.2
2009,대구광역시,14.879999999999999,832.5
2009,대전광역시,12.844931506849314,1090.4
2009,부산광역시,15.198356164383561,1772.9
2009,서울특별시,12.953424657534246,1564.0
2009,울산광역시,14.312054794520547,1133.2
2009,인천광역시,12.621095890410958,1382.1
2009,전라남도,13.844931506849314,1088.4
2009,전북특별자치도,13.672876712328769,1163.9
2009,제주특별자치도,16.032602739726027,1304.8
2009,충청남도,12.349315068493151,1074.3
2009,충청북도,13.004657534246574,1019.8
2010,강원특별자치도,11.036438356164384,1581.4
2010,경기도,12.272328767123287,1470.6
2010,경상남도,14.593972602739727,1766.9
2010,경상북도,12.266575342465753,1073.8
2010,광주광역시,14.2413698630137,1573.1
2010,대구광역시,14.40876712328767,1204.5
2010,대전광역시,12.706575342465753,1419.7
2010,부산광역시,14.987671232876712,1441.9
2010,서울특별시,12.140821917808218,2043.5
2010,울산광역시,14.067671232876712,1161.6
2010,인천광역시,12.307397260273973,1777.7
2010,전라남도,13.552876712328768,1335.7
2010,전북특별자치도,13.597534246575343,1462.3
